@carteiroreaca twitterhandle_VERB_Fin_Sing
A o_DET_Fem_Sing
culpa culpa_NOUN_Fem_Sing
toda todo_ADJ_Fem_Sing
nessas em_esse_ADP_DET_Fem_Plur
últimas último_ADJ_Fem_Plur
eleições eleição_NOUN_Fem_Plur
foi ser_AUX_Fin_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
por por_ADP
não não_ADV
ter ter_AUX_Inf
apoiado apoiar_VERB_Part_Masc_Sing
nenhum nenhum_DET_Masc_Sing
candidato candidato_NOUN_Masc_Sing
. .
Aqui aqui_ADV
Pernambuco pernambuco_PROPN_Masc_Sing
/ /
Paraíba paraíba_PROPN_Fem_Sing
onde onde_ADV
minha meu_DET_Fem_Sing
família família_NOUN_Fem_Sing
vota votar_VERB_Fin_Sing
estava estar_AUX_Fin_Sing
perdido perder_VERB_Part
em em_ADP
quem quem_PRON_Int
votar votar_VERB_Inf_Sing
. .
Votaria votar_VERB_Fin_Sing
em em_ADP
qualquer qualquer_DET_Fem_Sing
pessoa pessoa_NOUN_Fem_Sing
indicada indicar_VERB_Part_Fem_Sing
por por_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
Qual qual_PRON_Int_Masc_Sing
foi ser_AUX_Fin_Sing
a o_DET_Fem_Sing
opção opção_NOUN_Fem_Sing
de de_ADP
segundo segundo_ADJ_Masc_Sing
turno turno_NOUN_Masc_Sing
pelo por_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
? ?
PSDBxPT psdbxpt_PROPN_Masc_Sing
. .
