Junto junto
com com
o o
sistema sistema
que que
se se
formou formar
há há
décadas década
, ,
estas este
pessoas pessoa
têm ter
a o
certeza certeza
de de
que que
no em_o
futuro futuro
contarão contar
a o
mesma mesmo
história história
que que
1964 1964
. .
Perseguidos perseguir
, ,
ditadura ditadura
. .
. .
. .
jamais jamais
o o
subestimemos subestimemos
! !
Pior pior
que que
a o
corrupção corrupção
generalizada generalizado
que que
proporcionaram proporcionar
será ser
o o
dia dia
em em
que que
estes este
tomarem tomar
também também
sua seu
liberdade liberdade
! !
