@UOL twitterhandle_NOUN_Masc_Sing
Só só_ADV
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
 "  "
povo povo_NOUN_Masc_Sing
de de_ADP
bem bem_NOUN_Masc_Sing
 "  "
pastor pastor_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
parceiro parceiro_NOUN_Masc_Sing
de de_ADP
deputado deputado_NOUN_Masc_Sing
corrupto corrupto_ADJ_Masc_Sing
, ,
faz fazer_VERB_Fin_Sing
campanha campanha_NOUN_Fem_Sing
pra pra_ADP
milico milico_ADJ_Masc_Sing
que que_PRON_Rel_Masc_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
vai ir_AUX_Fin_Sing
armar armar_VERB_Inf
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
e e_CCONJ
apoia apoiar_VERB_Fin_Sing
chapa chapa_NOUN_Fem_Sing
 "  "
bandido bandido_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
morto morrer_VERB_Part_Masc_Sing
 "  "
. .
