Então então_ADV
quer querer_VERB_Fin_Sing
dizer dizer_VERB_Inf
que que_SCONJ
esse esse_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
desse de_esse_ADP_DET_Masc_Sing
LADRÃO ladrão_PROPN_Masc_Sing
SENIL senil_PROPN_Sing
, ,
quer querer_VERB_Fin_Sing
cortar cortar_VERB_Inf
o o_DET_Masc_Sing
patrocínio patrocínio_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Banco banco_PROPN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
para para_ADP
Agrishow agrishow_PROPN_Sing
, ,
mas mas_CCONJ
o o_DET_Masc_Sing
MST mst_PROPN_Masc_Sing
tem ter_VERB_Fin_Sing
reunião reunião_NOUN_Fem_Sing
com com_ADP
a o_DET_Fem_Sing
caixa caixa_NOUN_Fem_Sing
econômica econômico_ADJ_Fem_Sing
? ?
O o_DET_Masc_Sing
AGRO agro_PROPN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
impulsiona impulsionar_VERB_Fin_Sing
esse esse_DET_Masc_Sing
país país_NOUN_Masc_Sing
, ,
é ser_AUX_Fin_Sing
deixado deixar_VERB_Part
de de_ADP
lado lado_NOUN_Masc_Sing
e e_CCONJ
o o_DET_Masc_Sing
MST mst_PROPN_Masc_Sing
, ,
que que_PRON_Rel_Masc_Sing
invade invadir_VERB_Fin_Sing
terras terra_NOUN_Fem_Plur
, ,
tem ter_VERB_Fin_Sing
o o_DET_Masc_Sing
líder líder_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
foi ser_AUX_Fin_Sing
para para_ADP
China china_PROPN_Fem_Sing
? ?
oi oi_VERB_Fin_Sing
? ?
? ?
? ?
