Minhas meu
reações reação
sobre sobre
a o
facada facada
a a
Bolso bolso
foram ser
essas esse
: :
1o 1o
, ,
achei achar
q q
era ser
armação armação
. .
Dps dps
, ,
o o
Jornal jornal
Nacional nacional
me eu
convenceu convencer
q q
não não
foi ir
. .
Mas mas
algumas algum
semanas semana
dps dps
, ,
com com
a o
falta falta
de de
respostas resposta
, ,
voltei voltar
a a
crer crer
na em_o
armação armação
. .
Hj hj
tenho ter
certeza certeza
. .
Este este
doc doc
leva levar
4 4
min min
pra pra
te tu
convencer convencer
