Analistas analista
dizem dizer
que que
Bolsonaro bolsonaro
é ser
de de
extrema extremo
direita direita
e e
não não
atentam atentar
para para
o o
fato fato
de de
que que
a o
maioria maioria
do de_o
eleitorado eleitorado
tem ter
um um
perfil perfil
CONSERVADOR conservador
! !
portanto portanto
, ,
não não
é ser
só só
a o
extrema extremo
direita direita
. .
O o
eleitor eleitor
está estar
indo ir
para para
o o
lado lado
da de_o
única único
candidatura candidatura
que que
tem ter
pauta pauta
conservadora conservador
que que
é ser
o o
Bolsonaro bolsonaro
! !
