Genocida genocida_ADJ_Masc_Sing
desmontou desmontar_VERB_Fin_Sing
o o_PRON_Masc_Sing
Minha meu_DET_Fem_Sing
Casa casa_PROPN_Fem_Sing
Minha meu_DET_Fem_Sing
vida vida_NOUN_Fem_Sing
pra pra_ADP
famílias família_NOUN_Fem_Plur
de de_ADP
baixa baixo_ADJ_Fem_Sing
renda renda_NOUN_Fem_Sing
e e_CCONJ
que que_SCONJ
poderia poder_AUX_Fin_Sing
atender atender_VERB_Inf
agora agora_ADV
parte parte_NOUN_Fem_Sing
das de_o_ADP_DET_Fem_Plur
vítimas vítima_NOUN_Fem_Plur
das de_o_ADP_DET_Fem_Plur
chuvas chuva_NOUN_Fem_Plur
no em_o_ADP_DET_Masc_Sing
litoral litoral_NOUN_Masc_Sing
de de_ADP
SP sp_PROPN_Masc_Sing
. .
Antes antes_ADV
que que_SCONJ
venham vir_AUX_Fin_Plur
dizer dizer_VERB_Inf
que que_SCONJ
é ser_AUX_Fin_Sing
mentira mentira_NOUN_Fem_Sing
, ,
extinção extinção_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
programa programa_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
no em_o_ADP_DET_Masc_Sing
relatório relatório_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
então então_NOUN_Masc_Sing
Ministério ministério_PROPN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
Economia economia_PROPN_Sing
. .
