@izzynobre twitterhandle_VERB_Fin_Sing
Gui gui_PROPN_Masc_Sing
Felix felix_PROPN_Masc_Sing
, ,
25 25_NUM
anos ano_NOUN_Masc_Plur
YouTuber youtuber_PROPN_Masc_Sing
Streamer streamer_PROPN_Sing
fracassado fracassar_VERB_Part_Masc_Sing
Liberal liberal_NOUN_Masc_Sing
na em_o_ADP_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
e e_CCONJ
progressista progressista_NOUN_Fem_Sing
nos em_o_ADP_DET_Masc_Plur
costumes costume_NOUN_Masc_Plur
Fã fã_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Izzy izzy_PROPN_Masc_Sing
Nobre nobre_PROPN_Sing
Votei votar_VERB_Fin_Sing
na em_o_ADP_DET_Fem_Sing
Dilma dilma_PROPN_Fem_Sing
e e_CCONJ
no em_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
Corinthiano corinthiano_PROPN_Sing
Pró pró_VERB_Fin_Sing
legalização legalização_NOUN_Fem_Sing
total total_ADJ_Fem_Sing
das de_o_ADP_DET_Fem_Plur
drogas droga_NOUN_Fem_Plur
, ,
armas arma_NOUN_Fem_Plur
e e_CCONJ
prostituição prostituição_NOUN_Fem_Sing
. .
