Pela por_o
1ª 1ª
vez vez
na em_o
história história
os o
3 3
comandantes comandante
das de_o
Forças forças
Armadas armadas
pedem pedir
pra pra
sair sair
de de
um um
governo governo
! !
Sem sem
saída saída
diante diante
do de_o
caos caos
q q
a a
sua seu
incompetência incompetência
causou causar
ao a_o
país país
, ,
e e
ciente ciente
dos de_o
crimes crime
q q
cometeu cometer
, ,
o o
Bolsonaro bolsonaro
apela apelar
pra pra
uma um
última último
tentativa tentativa
de de
se se
manter manter
, ,
nem nem
que que
seja ser
a o
força força
, ,
no em_o
poder poder
: :
GOLPE golpe
! !
