Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
com com_ADP
um um_DET_Masc_Sing
ano ano_NOUN_Masc_Sing
e e_CCONJ
meio meio_NOUN_Masc_Sing
de de_ADP
governo governo_NOUN_Masc_Sing
, ,
dá dar_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
nordestino nordestino_NOUN_Masc_Sing
, ,
àquilo àquilo_VERB_Fin_Sing
q q_NOUN_Masc_Sing
os o_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
usaram usar_VERB_Fin_Plur
como como_ADP
moeda moeda_NOUN_Fem_Sing
de de_ADP
troca troca_NOUN_Fem_Sing
durante durante_ADP
anos ano_NOUN_Masc_Plur
, ,
p p_NOUN_Masc_Plur
/ /
seus seu_DET_Masc_Plur
votos voto_NOUN_Masc_Plur
. .
Veremos ver_VERB_Fin_Plur
agora agora_ADV
, ,
se se_SCONJ
o o_DET_Masc_Sing
nordestino nordestino_NOUN_Masc_Sing
, ,
corresponderá corresponder_VERB_Fin_Sing
nas em_o_ADP_DET_Fem_Plur
urnas urna_NOUN_Fem_Plur
, ,
c c_NOUN_Masc_Sing
/ /
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
q q_NOUN_Masc_Sing
deu dar_VERB_Fin_Sing
ao a_o_ADP_DET_Masc_Sing
nordeste nordeste_NOUN_Masc_Sing
o o_DET_Masc_Sing
direito direito_NOUN_Masc_Sing
a a_ADP
dignidade dignidade_NOUN_Fem_Sing
e e_CCONJ
ao a_o_ADP_DET_Masc_Sing
progresso progresso_NOUN_Masc_Sing
. .
