Bolsonaro bolsonaro_PROPN_Masc_Sing
defende defender_VERB_Fin_Sing
a o_DET_Fem_Sing
ditadura ditadura_NOUN_Fem_Sing
, ,
ameaça ameaçar_VERB_Fin_Sing
jornalistas jornalista_NOUN_Masc_Plur
, ,
incita incitar_VERB_Fin_Sing
o o_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
. .
Mobiliza mobilizar_VERB_Fin_Sing
fanáticos fanático_NOUN_Masc_Plur
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
movidos mover_VERB_Part_Masc_Plur
a a_ADP
fake fake_NOUN_Fem_Sing
news news_ADJ_Fem_Sing
. .
Ainda ainda_ADV
pretende pretender_VERB_Fin_Sing
liberar liberar_VERB_Inf
armas arma_NOUN_Fem_Plur
! !
Tudo tudo_PRON_Masc_Sing
isso isso_PRON_Masc_Sing
envolto envolver_VERB_Part_Masc_Sing
em em_ADP
pura puro_ADJ_Fem_Sing
irracionalidade irracionalidade_NOUN_Fem_Sing
. .
Trata tratar_VERB_Fin_Sing
-se se_PRON
de de_ADP
um um_DET_Masc_Sing
fascismo fascismo_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
séc séc_NOUN_Masc_Sing
. .
XXI xxi_ADJ_Masc_Sing
. .
Eis ser_VERB_Fin_Sing
por por_ADP
que que_SCONJ
o o_DET_Masc_Sing
debate debate_NOUN_Masc_Sing
sobre sobre_ADP
sua seu_DET_Fem_Sing
queda queda_NOUN_Fem_Sing
ganha ganhar_VERB_Fin_Sing
dimensão dimensão_NOUN_Fem_Sing
. .
