@P_droMenezes twitterhandle_VERB_Fin_Sing
O o_DET_Masc_Sing
brasileiro brasileiro_NOUN_Masc_Sing
em em_ADP
sua seu_DET_Fem_Sing
grande grande_ADJ_Fem_Sing
maioria maioria_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
sim sim_ADV
conservador conservador_ADJ_Masc_Sing
, ,
porém porém_ADV
quase quase_ADV
sempre sempre_ADV
vota votar_VERB_Fin_Sing
pela por_o_ADP_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
( (
Lula lula_PROPN_Masc_Sing
se se_PRON_Masc_Sing
reelegeu reeleger_VERB_Fin_Sing
facilmente facilmente_ADV
em em_ADP
2006 @card@
) )
, ,
portanto portanto_ADV
, ,
se se_SCONJ
a o_DET_Fem_Sing
economia economia_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
for ser_AUX_Fin_Sing
bem bem_ADV
, ,
não não_ADV
vai ir_AUX_Fin_Sing
ter ter_AUX_Inf
conservadorismo conservadorismo_NOUN_Masc_Sing
q q_NOUN_Masc_Sing
dê dar_VERB_Fin_Sing
jeito jeito_NOUN_Masc_Sing
. .
