Oferecer oferecer_VERB_Fin_Sing
porte porte_NOUN_Masc_Sing
de de_ADP
arma arma_NOUN
virar virar_VERB_Inf_Sing
as o_DET_Fem_Plur
costas costa_NOUN_Fem_Plur
pra pra_ADP
debate debate_NOUN_Masc_Sing
perguntado perguntar_VERB_Part_Masc_Sing
sobre sobre_ADP
economia economia_NOUN_Fem_Sing
e e_CCONJ
saúde saúde_NOUN_Fem_Sing
, ,
dizer dizer_VERB_Inf
que que_SCONJ
disso de_isso_ADP_PRON_Masc_Sing
não não_ADV
entende entender_VERB_Fin_Sing
achar achar_VERB_Inf
que que_SCONJ
segurança segurança_NOUN_Fem_Sing
se se_PRON_Masc_Sing
resume resumir_VERB_Fin_Sing
em em_ADP
armar armar_VERB_Inf
população população_NOUN_Fem_Sing
tem ter_AUX_Fin_Sing
seu seu_DET_Masc_Sing
preço preço_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
cai cair_VERB_Fin_Sing
empata empata_NOUN_Fem_Sing
tecnicamente tecnicamente_ADV
com com_ADP
Marina marina_PROPN_Masc_Sing
e e_CCONJ
Ciro ciro_PROPN_Masc_Sing
encosta encostar_VERB_Fin_Sing
