@defensesentinel twitterhandle
Enquanto enquanto
os o
cidadãos cidadão
comuns comum
ucranianos ucraniano
lutam lutar
bravamente bravamente
com com
os o
recursos recurso
que que
detêm deter
, ,
inclusive inclusive
, ,
desarmando desarmar
uma um
mina mina
terrestre terrestre
sem sem
nenhum nenhum
EPI epi
, ,
o o
omisso omisso
e e
covarde covarde
Presidente presidente
Jair jair
Bolsonaro bolsonaro
descansa descansar
no em_o
Guarujá guarujá
gastando gastar
o o
nosso nosso
money_bag_e money_bag_e
via ver
cartão cartão
corporativo corporativo
. .
