@Estadao twitterhandle_NOUN_Masc_Sing
@EstadaoPolitica twitterhandle_VERB_Fin_Sing
Um um_DET_Masc_Sing
feito feito_ADJ_Masc_Sing
memorável memorável_ADJ_Masc_Sing
como como_ADP
este este_PRON_Masc_Sing
. .
Água água_NOUN_Fem_Sing
para para_ADP
o o_DET_Masc_Sing
sertão sertão_NOUN_Masc_Sing
nordestino nordestino_ADJ_Masc_Sing
e e_CCONJ
esse esse_DET_Masc_Sing
lixo lixo_NOUN_Masc_Sing
comunista comunista_ADJ_Masc_Sing
vai ir_AUX_Fin_Sing
falar falar_VERB_Inf
da de_o_ADP_DET_Fem_Sing
máscara máscara_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
o o_DET_Masc_Sing
PR pr_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
não não_ADV
usou usar_VERB_Fin_Sing
. .
Esses esse_DET_Masc_Plur
comunistas comunista_NOUN_Masc_Plur
são ser_AUX_Fin_Plur
mesmo mesmo_ADV
uns uns_DET_Fem_Sing
FDP fdp_PROPN_Fem_Sing
. .
Se se_SCONJ
o o_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
estivesse estar_AUX_Fin_Sing
roubando roubar_VERB_Part
. .
e e_CCONJ
deixando deixar_VERB_Ger
roubar roubar_VERB_Inf
seria ser_AUX_Fin_Sing
elogiado elogiar_VERB_Part_Masc_Sing
por por_ADP
todos todo_PRON_Masc_Plur
esse esse_DET_Masc_Sing
corruptos corrupto_NOUN_Masc_Plur
. .
