Pesquisa pesquisa_NOUN_Fem_Sing
eleitoral eleitoral_ADJ_Fem_Sing
com com_ADP
Lula lula_PROPN_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
fraude fraude_NOUN_Fem_Sing
, ,
é ser_AUX_Fin_Sing
apologia apologia_NOUN_Fem_Sing
ao a_o_ADP_DET_Masc_Sing
crime crime_NOUN_Masc_Sing
. .
A o_DET_Fem_Sing
mídia mídia_NOUN_Fem_Sing
deveria dever_AUX_Fin_Sing
não não_ADV
falar falar_VERB_Inf
no em_o_ADP_DET_Masc_Sing
nome nome_NOUN
dele de_ele_ADP_PRON_Masc_Sing
, ,
ou ou_CCONJ
se se_PRON_Masc_Sing
falar falar_VERB_Fin_Sing
, ,
expo expo_NOUN_Fem_Sing
-lo ele_PRON_Masc_Sing
como como_ADV
ele ele_PRON_Masc_Sing
o o_PRON_Masc_Sing
é ser_VERB_Fin_Sing
; ;
ladrão ladrão_NOUN_Masc_Sing
, ,
criminoso criminoso_NOUN_Masc_Sing
, ,
preso prender_VERB_Part_Masc_Sing
por por_ADP
roubo roubo_NOUN_Masc_Sing
. .
Na em_o_ADP_DET_Fem_Sing
mesma mesmo_ADJ_Fem_Sing
proporção proporção_NOUN_Fem_Sing
não não_ADV
tocam tocar_VERB_Fin_Plur
no em_o_ADP_DET_Masc_Sing
nome nome_NOUN_Masc_Sing
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
e e_CCONJ
quando quando_ADV
o o_PRON_Masc_Sing
fazem fazer_VERB_Fin_Plur
é é_ADV
pra para_o_ADP_DET_Fem_Sing
expo expo_NOUN_Fem_Sing
-lo ele_PRON_Masc_Sing
em em_ADP
mentiras mentira_NOUN_Fem_Plur
. .
