Seria ser
prudente prudente
que que
o o
ministro ministro
da de_o
defesa defesa
Neto neto
se se
pronunciasse pronunciar
p p
/ /
tranquilizar tranquilizar
a o
nação nação
qdo qdo
a o
impossibilidade impossibilidade
de de
intervenção intervenção
militar militar
. .
Tenho ter
convicção convicção
da de_o
forte forte
democracia democracia
que que
construímos construir
. .
As o
Forças forças
Armadas armadas
fazem fazer
parte parte
do de_o
Estado estado
brasileiro brasileiro
e e
tem ter
a o
confiança confiança
de de
todos todo
nós nó
. .
