Youtube youtube_PROPN_Masc_Sing
e e_CCONJ
Google google_PROPN_Masc_Sing
alertam alertar_VERB_Fin_Plur
que que_SCONJ
PL pl_PROPN_Masc_Sing
das de_o_ADP_DET_Fem_Plur
Fake fake_PROPN_Sing
News news_PROPN_Sing
vai ir_AUX_Fin_Sing
proteger proteger_VERB_Inf
grandes grande_ADJ_Masc_Plur
veículos veículo_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
publicam publicar_VERB_Fin_Plur
desinformação desinformação_NOUN_Fem_Sing
. .
O o_DET_Masc_Sing
Google google_PROPN_Masc_Sing
ainda ainda_ADV
completa completar_VERB_Fin_Sing
que que_SCONJ
o o_DET_Masc_Sing
projeto projeto_NOUN_Masc_Sing
de de_ADP
censura censura_NOUN_Fem_Sing
 "  "
traz trazer_VERB_Fin_Sing
sérias sério_ADJ_Fem_Plur
ameaças ameaça_NOUN_Fem_Plur
à a_o_ADP_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
 "  "
. .
