Mas mas
se se
ela ela
é ser
a o
especialista especialista
( (
e e
não não
eles eles
) )
, ,
pq pq
eles eles
reclamam reclamar
? ?
" "
[ [
Apoiadores apoiadores
do de_o
presidente presidente
] _
reclamam reclamar
que que
a o
especialista especialista
em em
segurança segurança
pública público
defende defender
o o
desarmamento desarmamento
e e
fez fazer
críticas crítica
ao a_o
decreto decreto
de de
posse posse
de de
armas arma
assinado assinar
por por
Jair jair
Bolsonaro bolsonaro
. .
" "
HASHTAG hashtag
#ilonanão_h #ilonanão_h
Ilona ilona
Szabó szabó
