@hugodrte twitterhandle_NOUN_Masc_Sing
É ser_AUX_Fin_Sing
esquecer esquecer_VERB_Inf
os o_DET_Masc_Plur
costumes costume_NOUN_Masc_Plur
, ,
focar focar_VERB_Inf
num em_um_ADP_DET_Masc_Sing
nome nome_NOUN_Masc_Sing
experiente experiente_ADJ_Masc_Sing
, ,
falar falar_VERB_Inf
sobre sobre_ADP
economia economia_NOUN_Fem_Sing
/ /
segurança segurança_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
/ /
saúde saúde_NOUN_Fem_Sing
de de_ADP
forma forma_NOUN_Fem_Sing
simples simples_ADJ_Fem_Sing
e e_CCONJ
objetiva objetivo_ADJ_Fem_Sing
, ,
explorar explorar_VERB_Inf
os o_DET_Masc_Plur
erros erro_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
bolsonaro bolsonaro_ADJ_Masc_Sing
no em_o_ADP_DET_Masc_Sing
toque toque_NOUN_Masc_Sing
desses de_esse_ADP_DET_Masc_Plur
três três_NUM
pilares pilar_NOUN_Masc_Plur
e e_CCONJ
não não_ADV
cair cair_VERB_Inf
nas em_o_ADP_DET_Fem_Plur
armadilhas armadilha_NOUN_Fem_Plur
de de_ADP
falar falar_VERB_Inf
sobre sobre_ADP
Venezuela venezuela_PROPN_Fem_Sing
, ,
Cuba cuba_PROPN_Fem_Sing
blablabla blablabla_VERB_Fin_Sing
. .
