Governo governo
Lula lula
já já
tirou tirar
3 3
milhões milhão
de de
pessoas pessoa
da de_o
extrema extremo
pobreza pobreza
e e
mira mira
mais mais
8 8
milhões milhão
até até
junho junho
. .
Dados dado
refletem refletir
ampliação ampliação
do de_o
Bolsa bolsa
Família família
, ,
que que
ainda ainda
vai ir
implementar implementar
a o
regra regra
da de_o
renda renda
mínima pequeno
de de
R$ r$
142 142
per per
capita capitar
. .
Uma um
família família
de de
10 10
pessoas pessoa
, ,
que que
recebia receber
R$ r$
600 600
, ,
sem sem
criança criança
, ,
gestante gestante
… …
