Bolsonaro bolsonaro
vocalizou vocalizou
o o
sentimento sentimento
da de_o
parcela parcela
conservadora conservador
do de_o
povo povo
em em
2018 @card@
ao a_o
defender defender
pautas pauta
que que
não não
tinham ter
representatividade representatividade
política político
. .
Isso isso
fez fazer
dele de_ele
um um
conservador conservador
? ?
Claro claro
que que
não não
. .
Escrevi escrever
ainda ainda
em em
2018 @card@
que que
ele ele
não não
era ser
a o
encarnação encarnação
do de_o
conservadorismo conservadorismo
. .
Força força
, ,
mentes mente
binárias binário
. .
