Bolsonaro bolsonaro_PROPN_Masc_Sing
contratou contratar_VERB_Fin_Sing
ONG ong_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
exigiu exigir_VERB_Fin_Sing
pagamento pagamento_NOUN_Masc_Sing
pelas por_o_ADP_DET_Fem_Plur
cisternas cisterna_NOUN_Fem_Plur
de de_ADP
famílias família_NOUN_Fem_Plur
pobres pobre_ADJ_Fem_Plur
FAMÍLIAS família_NOUN_Fem_Plur
POBRES pobre_ADJ_Fem_Plur
FORAM ir_VERB_Fin_Plur
ENGANADAS enganadas_NOUN_Fem_Plur
E e_CCONJ
CHEGARAM chegar_VERB_Fin_Plur
A o_DET_Fem_Sing
FAZER fazer_PROPN_Fem_Sing
EMPRÉSTIMOS empréstimos_VERB_Fin_Plur
EM em_ADP
BANCOS banco_NOUN_Masc_Plur
PARA para_PROPN_Fem_Sing
PAGAREM pagar_VERB_Fin_Plur
CISTERNAS cisterna_NOUN_Fem_Plur
