Pandemia pandemia
X x
Ideologia ideologia
Política política
= =
VIDA vida
Governos governos
de de
diferentes diferente
ideologias ideologia
tomam tomar
decisões decisão
para para
salvar salvar
vidas vida
. .
Governos governo
de de
direita direita
e e
conservadores conservador
como como
o o
de de
Israel israel
e e
do de_o
Reino reino
Unido unido
são ser
firmes firme
em em
" "
lockdowns lockdowns
" "
. .
Bolsonaro bolsonaro
é ser
" "
FAKE fake
" "
! !
HASHTAG hashtag
#bolsonaroéfake_h #bolsonaroéfake_h
HASHTAG hashtag
#bolsonarogenocida_h #bolsonarogenocida_h
HASHTAG hashtag
#bolsonarismomata_h #bolsonarismomata_h
