@CarlosBolsonaro twitterhandle_NOUN_Masc_Sing
@jairbolsonaro twitterhandle_VERB_Fin_Sing
Minha meu_DET_Fem_Sing
opinião opinião_NOUN_Fem_Sing
de de_ADP
eleitora eleitor_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
que que_SCONJ
tanto tanto_ADV
ministros ministro_NOUN_Masc_Plur
como como_ADP
filhos filho_NOUN_Masc_Plur
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
tem ter_AUX_Fin_Sing
que que_SCONJ
pensar pensar_VERB_Inf
pra pra_ADP
falar falar_VERB_Inf
ou ou_CCONJ
perguntar perguntar_VERB_Inf
para para_ADP
capitão capitão_NOUN_Masc_Sing
se se_SCONJ
tal tal_DET_Masc_Sing
assunto assunto_NOUN_Masc_Sing
pode poder_AUX_Fin_Sing
ser ser_AUX_Inf
falado falar_VERB_Part_Masc_Sing
ou ou_CCONJ
escrito escrever_VERB_Part_Masc_Sing
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
, ,
parece parecer_VERB_Fin_Sing
que que_SCONJ
vcs vcs_NOUN_Masc_Plur
estão estar_AUX_Fin_Plur
fazendo fazer_VERB_Ger
campanha campanha_NOUN_Fem_Sing
cotra cotra_VERB_Fin_Sing
o o_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
, ,
pelo por_o_ADP_DET_Masc_Sing
amor amor_NOUN_Masc_Sing
de de_ADP
Deus deus_NOUN
; ;
Boca boca_PROPN_Fem_Sing
fechada fechar_VERB_Part_Fem_Sing
. .
