@HaddadDebochado twitterhandle_VERB_Part_Masc_Sing
A o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
morreu morrer_VERB_Fin_Sing
quando quando_ADV
ele ele_PRON_Masc_Sing
foi ser_AUX_Fin_Sing
entrevistado entrevistar_VERB_Part_Masc_Sing
há há_ADP
varios varios_ADJ_Masc_Plur
anos ano_NOUN_Masc_Plur
atrás atrás_ADV
e e_CCONJ
disse dizer_VERB_Fin_Sing
que que_SCONJ
era ser_AUX_Fin_Sing
a a_ADP
favor favor_NOUN
da de_o_ADP_DET_Fem_Sing
tortura tortura_NOUN_Fem_Sing
e e_CCONJ
disse dizer_VERB_Fin_Sing
q q_NOUN_Masc_Sing
 "  "
tudo tudo_PRON_Rel_Masc_Sing
bem bem_ADV
morrer morrer_VERB_Inf
alguns algum_DET_Masc_Plur
populares popular_NOUN_Masc_Plur
durante durante_ADP
o o_DET_Masc_Sing
processo processo_NOUN_Masc_Sing
 "  "
se se_PRON_Masc_Sing
referindo referir_VERB_Ger
a a_ADP
um um_DET_Masc_Sing
conflito conflito_NOUN_Masc_Sing
armado armar_VERB_Part_Masc_Sing
