Creio crer
que que
há haver
desinformação desinformação
aí aí
! !
Se se
assim assim
for ser
, ,
então então
apenas apenas
candidatos candidato
de de
primeira primeiro
" "
viagem viagem
" "
poderão poder
se se
candidatar candidatar
. .
Réu réu
é ser
o o
q q
não não
falta faltar
. .
Além além
disso de_isso
, ,
Lula lula
está estar
preso prender
por por
corrupção corrupção
. .
. .
. .
Bolsonaro bolsonaro
teve ter
o o
direito direito
da de_o
imunidade imunidade
parlamentar parlamentar
e e
liberdade liberdade
expressão expressão
desconsiderados desconsiderar
. .
Armação armação
. .
. .
. .
