@jaojao1212 twitterhandle_NUM
@ultom_rafael twitterhandle_NOUN_Masc_Sing
@jose_simao twitterhandle_ADJ_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
expressão expressão_NOUN_Fem_Sing
da de_o_ADP_DET_Fem_Sing
velha velho_ADJ_Fem_Sing
política política_NOUN_Fem_Sing
, ,
do de_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
atrasa atrasar_VERB_Fin_Sing
o o_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
: :
simplifica simplificar_VERB_Fin_Sing
a o_DET_Fem_Sing
segurança segurança_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
a o_DET_Fem_Sing
porrada porrada_NOUN_Fem_Sing
e e_CCONJ
cadeia cadeia_NOUN_Fem_Sing
, ,
fala falar_VERB_Fin_Sing
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
seu seu_DET_Masc_Sing
eleitor eleitor_NOUN_Masc_Sing
quer querer_VERB_Fin_Sing
ouvir ouvir_VERB_Inf
, ,
ataca atacar_VERB_Fin_Sing
com com_ADP
deboche deboche_NOUN_Masc_Sing
e e_CCONJ
não não_ADV
com com_ADP
argumento argumento_NOUN_Masc_Sing
, ,
discurso discurso_NOUN_Masc_Sing
de de_ADP
 "  "
cidadão cidadão_NOUN_Masc_Sing
de de_ADP
bem bem_NOUN_Masc_Sing
 "  "
e e_CCONJ
família família_NOUN_Fem_Sing
tradicional tradicional_ADJ_Fem_Sing
. .
Pura puro_ADJ_Fem_Sing
velha velho_ADJ_Fem_Sing
política política_NOUN_Fem_Sing
, ,
sem sem_ADP
maquiagem maquiagem_NOUN_Fem_Sing
. .
