Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
claro claro_ADJ_Masc_Sing
: :
irá ir_AUX_Fin_Sing
banir banir_VERB_Inf
ou ou_CCONJ
prender prender_VERB_Inf
 "  "
comunistas comunista_NOUN_Masc_Plur
 "  "
. .
Se se_SCONJ
você você_PRON_Sing
ousar ousar_VERB_Inf
questionar questionar_VERB_Inf
seu seu_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
, ,
você você_PRON_Sing
se se_PRON_Fem_Sing
tornará tornar_VERB_Fin_Sing
um um_DET_Masc_Sing
 "  "
comunista comunista_NOUN_Masc_Sing
 "  "
. .
Entenderam entender_VERB_Fin_Plur
, ,
abestados abestados_VERB_Part_Masc_Plur
do de_o_ADP_DET_Masc_Sing
 "  "
se se_SCONJ
não não_ADV
der dar_VERB_Fin_Sing
certo certo_PRON_Masc_Sing
a o_DET_Fem_Sing
gente gente_NOUN_Fem_Sing
bate bater_VERB_Fin_Sing
panela panela_NOUN_Fem_Sing
e e_CCONJ
tira tirar_VERB_Fin_Sing
ele ele_PRON_Masc_Sing
 "  "
? ?
