Comunidade comunidade
judia judeu
, ,
que que
foi ser
libertada libertar
do de_o
cativeiro cativeiro
nazista nazista
de de
Aushwitz aushwitz
pelo por_o
Exército exército
Vermelho vermelho
soviético soviético
, ,
precisa precisar
se se
conscientizar conscientizar
de de
que que
aro aro
representa representar
a o
reprodução reprodução
aqui aqui
do de_o
nazismo nazismo
. .
AO a_o
VIVO vivo
: :
Lula lula
participa participar
de de
ato ato
com com
judeus judeu
e e
judias judeu
em em
São são
Paulo paulo
