Favorite favorite
tweet tweet
: :
Ciro ciro
diz dizer
que que
Bolsonaro bolsonaro
é ser
um um
" "
Hitlerzinho hitlerzinho
tropical tropical
" "
. .
Como como
se se
Bolsonaro bolsonaro
chamasse chamar
negro negro
de de
capitão-do-mato capitão-do-mato
, ,
fosse ser
receber receber
os o
outros outro
Poderes poder
na em_o
bala bala
, ,
odiasse odiar
Israel israel
e e
fizesse fazer
acordo acordo
com com
tudo tudo
quanto quanto
é ser
ditadura ditadura
do de_o
mundo mundo
inimiga inimigo
da de_o
liberdade liberdade
. .
thinking_face_e thinking_face_e
— -
Flavio flavio
Morgenster morgenster
… …
