Confiamos confiar
no em_o
@ibamagov twitterhandle
e e
NOS nos
ENGANARAM enganar
SÓ só
PRA pra
ENTREGAR entregar
A o
FILÓ filó
! !
! !
! !
! !
Agora agora
não não
estão estar
deixando deixar
a o
gente gente
ver ver
ela ela
desde desde
então então
… …
a o
gente gente
tá estar
com com
medo medo
dela de_ela
já já
ter ter
sido ser
solta soltar
e e
o o
combinado combinado
era ser
a o
gente gente
acompanhar acompanhar
tudo tudo
! !
! !
! !
! !
Pelo por_o
amor amor
de de
deus deus
@LulaOficial twitterhandle
AJUDA ajudar
A o
FILÓ filó
! !
