Bolsonaro bolsonaro_PROPN_Masc_Sing
deve dever_AUX_Fin_Sing
saber saber_VERB_Inf
o o_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
está estar_AUX_Fin_Sing
fazendo fazer_VERB_Ger
. .
Porque porque_ADV
pela por_o_ADP_DET_Fem_Sing
primeira primeiro_ADJ_Fem_Sing
vez vez_NOUN_Fem_Sing
, ,
o o_DET_Masc_Sing
eleitorado eleitorado_NOUN_Masc_Sing
feminino feminino_ADJ_Masc_Sing
será ser_AUX_Fin_Sing
maior grande_ADJ_Fem_Sing
nas em_o_ADP_DET_Fem_Plur
eleições eleição_NOUN_Fem_Plur
. .
E e_CCONJ
ele ele_PRON_Masc_Sing
, ,
no em_o_ADP_DET_Masc_Sing
entanto entanto_NOUN_Masc_Sing
, ,
só só_ADV
fala falar_VERB_Fin_Sing
para para_ADP
os o_DET_Masc_Plur
homens homem_NOUN_Masc_Plur
e e_CCONJ
só só_ADV
aparece aparecer_VERB_Fin_Sing
cercado cercar_VERB_Part_Masc_Sing
de de_ADP
homens homem_NOUN_Masc_Plur
, ,
parte parte_NOUN_Fem_Sing
deles de_eles_ADP_PRON_Masc_Plur
armada armada_NOUN_Fem_Sing
. .
