URGENTE urgente
: :
Em em
seu seu
primeiro primeiro
ato ato
, ,
ministro ministro
da de_o
Defesa defesa
, ,
Braga braga
Netto netto
, ,
afirma afirmar
que que
golpe golpe
militar militar
de de
64 64
deve dever
ser ser
celebrado celebrar
, ,
e e
teve ter
o o
apoio apoio
dos de_o
" "
brasileiros brasileiro
" "
, ,
da de_o
" "
imprensa imprensa
" "
, ,
" "
lideranças liderança
políticas político
e e
igrejas igreja
" "
. .
As o
Forças forças
Armadas armadas
acabaram acabar
assumindo assumir
a o
responsabilidade responsabilidade
de de
pacificar pacificar
o o
País país
" "
, ,
disse dizer
