Uma um
pesquisa pesquisa
do de_o
Instituto instituto
Pólis pólis
mostra mostrar
que que
o o
gasto gasto
com com
o o
botijão botijão
de de
gás gás
compromete comprometer
até até
11 11
% %
da de_o
renda renda
das de_o
famílias família
mais mais
pobres pobre
na em_o
cidade cidade
de de
São são
Paulo paulo
. .
O o
gás gás
deveria dever
estar estar
na em_o
cesta cesta
básica básico
, ,
e e
o o
povo povo
não não
deveria dever
arriscar arriscar
sua seu
vida vida
com com
álcool álcool
e e
lenha lenha
. .
HASHTAG hashtag
#equipelula_h #equipelula_h
