Se se_PRON_Masc_Sing
há haver_VERB_Fin_Sing
uma um_DET_Fem_Sing
coisa coisa_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
o o_DET_Masc_Sing
Presidente presidente_NOUN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
não não_ADV
é ser_AUX_Fin_Sing
, ,
é ser_AUX_Fin_Sing
ser ser_AUX_Inf
corrupto corrupto_ADJ_Masc_Sing
. .
. .
. .
. .
E e_CCONJ
todos todo_PRON_Masc_Plur
que que_PRON_Rel_Masc_Plur
afirmam afirmar_VERB_Fin_Plur
que que_SCONJ
ele ele_PRON_Masc_Sing
é ser_VERB_Fin_Sing
que que_SCONJ
são ser_AUX_Fin_Plur
todos todo_DET_Masc_Plur
corruptos corrupto_NOUN_Masc_Plur
, ,
mentirosos mentiroso_NOUN_Masc_Plur
que que_PRON_Rel_Masc_Plur
gostam gostar_VERB_Fin_Plur
de de_ADP
espalhar espalhar_VERB_Inf
Fake fake_PROPN_Masc_Sing
News news_PROPN_Sing
nas em_o_ADP_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
. .
Aliás aliás_ADV
a a_ADP
Esquerda esquerda_PROPN_Sing
, ,
os o_DET_Masc_Plur
Comunistas comunista_NOUN_Masc_Plur
e e_CCONJ
os o_DET_Masc_Plur
Isentões isentões_NOUN_Masc_Plur
é é_ADP
que que_PRON_Rel_Masc_Plur
chamam chamar_VERB_Fin_Plur
seus seu_DET_Masc_Plur
opositores opositor_NOUN_Masc_Plur
do de_o_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
eles eles_PRON_Masc_Plur
são ser_VERB_Fin_Plur
. .
