@Marciofranca70 twitterhandle_NUM
@Flifrds twitterhandle_NOUN_Masc_Plur
A o_DET_Fem_Sing
abstenção abstenção_NOUN_Fem_Sing
tem ter_AUX_Fin_Sing
que que_SCONJ
ser ser_AUX_Inf
respeitada respeitar_VERB_Part_Fem_Sing
pois pois_ADV
faz fazer_VERB_Fin_Sing
parte parte_NOUN_Fem_Sing
de de_ADP
sua seu_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
individual individual_ADJ_Fem_Sing
. .
Mas mas_CCONJ
não não_ADV
acho achar_VERB_Fin_Sing
que que_SCONJ
seja ser_AUX_Fin_Sing
uma um_DET_Fem_Sing
boa bom_ADJ_Fem_Sing
opção opção_NOUN_Fem_Sing
pra para_o_ADP_DET_Fem_Sing
gente gente_NOUN_Fem_Sing
considerando considerar_VERB_Ger
um um_DET_Masc_Sing
conjunto conjunto_NOUN_Masc_Sing
de de_ADP
coisas coisa_NOUN_Fem_Plur
. .
A o_DET_Fem_Sing
minha meu_DET_Fem_Sing
opinião opinião_NOUN_Fem_Sing
/ /
posição posição_NOUN_Fem_Sing
é ser_AUX_Fin_Sing
votar votar_VERB_Inf
em em_ADP
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
mesmo mesmo_ADV
com com_ADP
todos todo_DET_Masc_Plur
problemas problema_NOUN_Masc_Plur
. .
