@hylixwon twitterhandle_NOUN_Masc_Sing
Um um_DET_Masc_Sing
dia dia_NOUN_Masc_Sing
depois depois_ADV
do de_o_ADP_DET_Masc_Sing
ministro ministro_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
defesa defesa_NOUN_Fem_Sing
deixar deixar_VERB_Inf
o o_DET_Masc_Sing
cargo cargo_NOUN_Masc_Sing
, ,
no em_o_ADP_DET_Masc_Sing
dia dia_NOUN_Masc_Sing
de de_ADP
hoje hoje_ADV
, ,
os o_DET_Masc_Plur
três três_NUM
comandantes comandante_NOUN_Masc_Plur
das de_o_ADP_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
deixaram deixar_VERB_Fin_Plur
o o_DET_Masc_Sing
cargo cargo_NOUN_Masc_Sing
também também_ADV
porque porque_SCONJ
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
tava tava_NOUN_Fem_Sing
com com_ADP
uma um_DET_Fem_Sing
tentativa tentativa_NOUN_Fem_Sing
de de_ADP
unir unir_VERB_Inf
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
com com_ADP
a o_DET_Fem_Sing
política política_NOUN_Fem_Sing
, ,
em em_ADP
poucas pouco_DET_Fem_Plur
palavras palavra_NOUN_Fem_Plur
tá estar_AUX_Fin_Sing
tentando tentar_VERB_Ger
uma um_DET_Fem_Sing
nova novo_ADJ_Fem_Sing
ditadura ditadura_NOUN_Fem_Sing
militar militar_ADJ_Fem_Sing
. .
: :
) )
