@SorayaThronicke twitterhandle_VERB_Fin_Sing
@democraciaSF twitterhandle_NOUN_Masc_Sing
O o_DET_Masc_Sing
que que_PRON_Rel_Masc_Sing
está estar_AUX_Fin_Sing
por por_ADP
trás trás_ADV
da de_o_ADP_DET_Fem_Sing
temática temático_ADJ_Fem_Sing
FAKE fake_PROPN_Fem_Sing
NEWS news_PROPN_Sing
não não_ADV
é ser_AUX_Fin_Sing
somente somente_ADV
a o_DET_Fem_Sing
caçada caçar_VERB_Part_Fem_Sing
de de_ADP
apoiadores apoiador_ADJ_Masc_Plur
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
Existe existir_VERB_Fin_Sing
algo algo_PRON_Masc_Sing
muito muito_ADV
pior mau_ADJ_Masc_Sing
: :
calar calar_VERB_Inf
as o_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
, ,
mídia mídia_NOUN_Fem_Sing
alternativa alternativo_ADJ_Fem_Sing
e e_CCONJ
a o_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
. .
Direitos direito_NOUN_Masc_Plur
fundamentais fundamental_ADJ_Masc_Plur
e e_CCONJ
a o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
encontram encontrar_VERB_Fin_Plur
-se se_PRON_Masc_Plur
em em_ADP
ameaça ameaça_NOUN_Fem_Sing
no em_o_ADP_DET_Masc_Sing
Brasil brasil_PROPN_Masc_Sing
. .
