@blendaaraujo_ twitterhandle_NOUN_Fem_Sing
@tiffanylimaaa twitterhandle_VERB_Fin_Sing
Ah ah_INTJ
, ,
tudo tudo_PRON_Masc_Sing
bem bem_ADV
, ,
já já_ADV
q q_NOUN_Masc_Sing
vc vc_ADJ_Masc_Sing
gosta gostar_VERB_Fin_Sing
, ,
entao entao_VERB_Fin_Sing
de de_ADP
boa bom_ADJ_Fem_Sing
, ,
só só_ADV
acho achar_VERB_Fin_Sing
meio meio_NOUN_Masc_Sing
estranho estranho_ADJ_Masc_Sing
uma um_DET_Fem_Sing
cristã cristão_NOUN_Fem_Sing
apoiar apoiar_VERB_Inf
Bolsonaro bolsonaro_PROPN_Masc_Sing
ou ou_CCONJ
um um_DET_Masc_Sing
país país_NOUN_Masc_Sing
militarizado militarizar_VERB_Part_Masc_Sing
, ,
alguém alguém_PRON_Masc_Sing
q q_NOUN_Masc_Sing
fala falar_VERB_Fin_Sing
em em_ADP
tortura tortura_NOUN_Fem_Sing
, ,
bandido bandido_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
é ser_AUX_Fin_Sing
bandido bandido_ADJ_Masc_Sing
morto morrer_VERB_Part_Masc_Sing
, ,
nunca nunca_ADV
vai ir_AUX_Fin_Sing
ser ser_AUX_Inf
cristão cristão_ADJ_Masc_Sing
de de_ADP
verdade verdade_NOUN_Fem_Sing
, ,
e e_CCONJ
sim sim_ADV
um um_DET_Masc_Sing
cristão cristão_NOUN_Masc_Sing
apoiando apoiar_VERB_Ger
o o_DET_Masc_Sing
ódio ódio_NOUN_Masc_Sing
