Analistas analista_NOUN_Plur
dizem dizer_VERB_Fin_Plur
que que_SCONJ
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
de de_ADP
extrema extremo_ADJ_Fem_Sing
direita direita_NOUN_Fem_Sing
e e_CCONJ
não não_ADV
atentam atentar_VERB_Fin_Plur
para para_ADP
o o_DET_Masc_Sing
fato fato_NOUN_Masc_Sing
de de_ADP
que que_PRON_Rel_Masc_Sing
a o_DET_Fem_Sing
maioria maioria_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
eleitorado eleitorado_NOUN_Masc_Sing
tem ter_AUX_Fin_Sing
um um_DET_Masc_Sing
perfil perfil_NOUN_Masc_Sing
CONSERVADOR conservador_PROPN_Masc_Sing
! !
portanto portanto_ADV
, ,
não não_ADV
é ser_AUX_Fin_Sing
só só_ADV
a o_DET_Fem_Sing
extrema extremo_ADJ_Fem_Sing
direita direita_NOUN_Fem_Sing
. .
O o_DET_Masc_Sing
eleitor eleitor_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
indo ir_VERB_Ger
para para_ADP
o o_DET_Masc_Sing
lado lado_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
única único_ADJ_Fem_Sing
candidatura candidatura_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
tem ter_VERB_Fin_Sing
pauta pauta_NOUN_Fem_Sing
conservadora conservador_ADJ_Fem_Sing
que que_PRON_Rel_Fem_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
! !
