@minc_rj twitterhandle_VERB_Fin_Sing
@pastorhenriquev twitterhandle_NOUN_Masc_Sing
@freibetto twitterhandle_ADJ_Masc_Sing
Depois depois_ADV
de de_ADP
4 4_NUM
anos ano_NOUN_Masc_Plur
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
, ,
o o_DET_Masc_Sing
gás gás_NOUN_Masc_Sing
foi ser_AUX_Fin_Sing
de de_ADP
60 60_NUM
para para_ADP
120 120_NUM
reais real_NOUN_Masc_Plur
, ,
a o_DET_Fem_Sing
gasolina gasolina_NOUN_Fem_Sing
de de_ADP
4 4_NUM
para para_ADP
7 7_NUM
e e_CCONJ
a o_DET_Fem_Sing
conta conta_NOUN_Fem_Sing
de de_ADP
luz luz_NOUN
subiu subir_VERB_Fin_Sing
mais mais_ADV
de de_ADP
50 50_NUM
% %
. .
O o_DET_Masc_Sing
real real_NOUN_Masc_Sing
perdeu perder_VERB_Fin_Sing
quase quase_ADV
30 30_NUM
% %
de de_ADP
seu seu_DET_Masc_Sing
valor valor_NOUN_Masc_Sing
e e_CCONJ
a o_DET_Fem_Sing
renda renda_NOUN_Fem_Sing
média médio_ADJ_Fem_Sing
das de_o_ADP_DET_Fem_Plur
famílias família_NOUN_Fem_Plur
brasileiras brasileiro_ADJ_Fem_Plur
caiu cair_VERB_Fin_Sing
fortemente fortemente_ADV
. .
Quem quem_PRON_Int_Sing
em em_ADP
sã são_ADJ_Fem_Sing
consciência consciência_NOUN_Fem_Sing
vai ir_AUX_Fin_Sing
querer querer_VERB_Inf
mais mais_ADV
4 4_NUM
anos ano_NOUN_Masc_Plur
disso de_isso_ADP_PRON_Masc_Sing
? ?
