Para para_ADP
os o_DET_Masc_Plur
indecisos indeciso_ADJ_Masc_Plur
ai ai_NOUN_Masc_Sing
está estar_AUX_Fin_Sing
, ,
falou falar_VERB_Fin_Sing
mal mal_ADV
de de_ADP
Bolsonaro bolsonaro_PROPN_Masc_Sing
99 99_NUM
% %
das de_o_ADP_DET_Fem_Plur
vezes vez_NOUN_Fem_Plur
é ser_AUX_Fin_Sing
ladrão ladrão_ADJ_Masc_Sing
, ,
corrupto corrupto_ADJ_Masc_Sing
, ,
bandido bandido_ADJ_Masc_Sing
do de_o_ADP_DET_Masc_Sing
colarinho colarinho_NOUN_Masc_Sing
branco branco_ADJ_Masc_Sing
, ,
ou ou_CCONJ
no em_o_ADP_DET_Masc_Sing
mínimo mínimo_NOUN_Masc_Sing
investigado investigar_VERB_Part_Masc_Sing
e e_CCONJ
como como_ADV
é ser_AUX_Fin_Sing
natural natural_ADJ_Masc_Sing
, ,
TODOS todos_VERB_Part_Masc_Plur
DA de_o_ADP_DET_Fem_Sing
ESQUERDA esquerda_PROPN_Fem_Sing
é ser_AUX_Fin_Sing
mole mole_ADJ_Sing
? ?
