@brotherjp21 twitterhandle_PROPN_Fem_Sing
Vai ir_AUX_Fin_Sing
se se_PRON
instruir instruir_VERB_Inf
! !
Bolsonaro bolsonaro_PROPN_Masc_Sing
é ser_AUX_Fin_Sing
ladrão ladrão_ADJ_Masc_Sing
, ,
marido marido_NOUN_Masc_Sing
de de_ADP
mulher mulher_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
recebe receber_VERB_Fin_Sing
dinheiro dinheiro_NOUN_Masc_Sing
de de_ADP
miliciano miliciano_NOUN_Masc_Sing
e e_CCONJ
é ser_AUX_Fin_Sing
pai pai_NOUN_Masc_Sing
de de_ADP
bandido bandido_NOUN_Masc_Sing
! !
É ser_AUX_Fin_Sing
corrupto corrupto_ADJ_Masc_Sing
! !
