@LsbicaConserva2 twitterhandle_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
: :
A o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
começa começar_VERB_Fin_Sing
com com_ADP
as o_DET_Fem_Plur
forças força_NOUN_Fem_Plur
armadas armar_VERB_Part_Fem_Plur
. .
Ex-presidente ex-presidente
Lula lula_PROPN_Masc_Sing
: :
A o_DET_Fem_Sing
democracia democracia_NOUN_Fem_Sing
começa começar_VERB_Fin_Sing
com com_ADP
a o_DET_Fem_Sing
participação participação_NOUN_Fem_Sing
popular popular_ADJ_Fem_Sing
. .
Quem quem_PRON_Rel_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
reacionário reacionário_ADJ_Masc_Sing
e e_CCONJ
que que_PRON_Rel_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
democrático democrático_ADJ_Masc_Sing
. .
Será ser_AUX_Fin_Sing
que que_SCONJ
existe existir_VERB_Fin_Sing
democracia democracia_NOUN_Fem_Sing
num em_um_ADP_DET_Masc_Sing
governo governo_NOUN_Masc_Sing
militar militar_ADJ_Masc_Sing
? ?
