@CarlosBolsonaro twitterhandle_VERB_Fin_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
quando quando_ADV
abre abrir_VERB_Fin_Sing
a o_DET_Fem_Sing
boca boca_NOUN_Fem_Sing
humilha humilhar_VERB_Fin_Sing
até até_ADP
sua seu_DET_Fem_Sing
família família_NOUN_Fem_Sing
vc vc_ADJ_Fem_Sing
acha achar_VERB_Fin_Sing
que que_SCONJ
povo povo_NOUN_Masc_Sing
brasileiro brasileiro_ADJ_Masc_Sing
irá ir_AUX_Fin_Sing
deixar deixar_VERB_Inf
Bolsonaro bolsonaro_PROPN_Masc_Sing
humilhar humilhar_VERB_Inf
a o_DET_Fem_Sing
família família_NOUN_Fem_Sing
Brasileira brasileira_PROPN_Sing
? ?
 "  "
só só_ADV
não não_ADV
te tu_PRON_Masc_Sing
estupro estupro_NOUN_Masc_Sing
pq pq_ADJ_Masc_Sing
vc vc_NOUN_Masc_Sing
não não_ADV
merece merecer_VERB_Fin_Sing
 "  "
bandido bandido_NOUN_Masc_Sing
bom bom_ADJ_Masc_Sing
, ,
bandido bandido_ADJ_Masc_Sing
morto morrer_VERB_Part_Masc_Sing
 "  "
um um_DET_Masc_Sing
cara cara_NOUN_Masc_Sing
que que_PRON_Rel_Masc_Sing
humilhou humilhar_VERB_Fin_Sing
a o_DET_Fem_Sing
raça raça_NOUN_Fem_Sing
negra negro_ADJ_Fem_Sing
que que_PRON_Rel_Fem_Sing
negro negro_ADJ_Masc_Sing
internacional internacional_ADJ_Masc_Sing
vai ir_AUX_Fin_Sing
tolerar tolerar_VERB_Inf
isso isso_PRON_Masc_Sing
? ?
