@szcnico twitterhandle_NOUN_Masc_Sing
Existe existir_VERB_Fin_Sing
um um_DET_Masc_Sing
abismo abismo_NOUN_Masc_Sing
entre entre_ADP
extrema extremo_ADJ_Fem_Sing
direita direita_NOUN_Fem_Sing
e e_CCONJ
direita direita_NOUN_Fem_Sing
como como_ADP
visto visto_NOUN_Masc_Sing
no em_o_ADP_DET_Masc_Sing
doc doc_NOUN_Masc_Sing
, ,
seria ser_AUX_Fin_Sing
mais mais_ADV
pragmático pragmático_ADJ_Masc_Sing
colocar colocar_VERB_Inf
direita direita_NOUN_Fem_Sing
autoritária autoritário_ADJ_Fem_Sing
ou ou_CCONJ
conservadora conservador_ADJ_Fem_Sing
se se_SCONJ
o o_DET_Masc_Sing
foco foco_NOUN_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
mito mito_NOUN_Masc_Sing
, ,
já já_ADV
q q_NOUN_Masc_Sing
tem ter_VERB_Fin_Sing
mts mts_NOUN_Masc_Plur
de de_ADP
direita direita_NOUN_Fem_Sing
por por_ADP
ai ai_NOUN_Masc_Sing
que que_PRON_Rel_Fem_Plur
abominam abominar_VERB_Fin_Plur
o o_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
