Mas mas_CCONJ
se se_PRON_Fem_Sing
ela ela_PRON_Fem_Sing
é ser_AUX_Fin_Sing
a o_DET_Fem_Sing
especialista especialista_NOUN_Fem_Sing
( (
e e_CCONJ
não não_ADV
eles eles_PRON_Masc_Plur
) )
, ,
pq pq_VERB_Fin_Sing
eles eles_PRON_Masc_Plur
reclamam reclamar_VERB_Fin_Plur
? ?
 "  "
[ [
Apoiadores apoiadores_NOUN_Masc_Plur
do de_o_ADP_DET_Masc_Sing
presidente presidente_NOUN_Masc_Sing
] __PUNCT_Par_Right
reclamam reclamar_VERB_Fin_Plur
que que_SCONJ
a o_DET_Fem_Sing
especialista especialista_NOUN_Fem_Sing
em em_ADP
segurança segurança_NOUN_Fem_Sing
pública público_ADJ_Fem_Sing
defende defender_VERB_Fin_Sing
o o_DET_Masc_Sing
desarmamento desarmamento_NOUN_Masc_Sing
e e_CCONJ
fez fazer_VERB_Fin_Sing
críticas crítica_NOUN_Fem_Plur
ao a_o_ADP_DET_Masc_Sing
decreto decreto_NOUN_Masc_Sing
de de_ADP
posse posse_NOUN_Fem_Sing
de de_ADP
armas arma_NOUN_Fem_Plur
assinado assinar_VERB_Part_Masc_Sing
por por_ADP
Jair jair_PROPN_Masc_Sing
Bolsonaro bolsonaro_PROPN_Sing
. .
 "  "
HASHTAG hashtag_PROPN_Masc_Sing
#ilonanão_h #ilonanão_h
Ilona ilona_PROPN_Sing
Szabó szabó_PROPN_Sing
