@prpaulomarcelo twitterhandle_NOUN_Masc_Sing
@ThiagoResiste twitterhandle_VERB_Fin_Sing
Um um_DET_Masc_Sing
evangélico evangélico_ADJ_Masc_Sing
querendo querer_VERB_Part
o o_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
. .
Vc vc_PROPN_Masc_Sing
nao nao_VERB_Fin_Sing
tem ter_VERB_Fin_Sing
vergonha vergonha_NOUN_Fem_Sing
na em_o_ADP_DET_Fem_Sing
cara cara_NOUN_Fem_Sing
nao nao_VERB_Fin_Sing
? ?
O o_DET_Masc_Sing
ladrão ladrão_NOUN_Masc_Sing
foi ser_AUX_Fin_Sing
la la_PROPN_Sing
no em_o_ADP_DET_Masc_Sing
terreiro terreiro_NOUN_Masc_Sing
de de_ADP
candomblé candomblé_NOUN_Masc_Sing
. .
Vai ir_AUX_Fin_Sing
com com_ADP
ele ele_PRON_Masc_Sing
mané mané_VERB_Fin_Sing
. .
