Bolsonaro bolsonaro_PROPN_Masc_Sing
acha achar_VERB_Fin_Sing
que que_SCONJ
as o_DET_Fem_Plur
redes rede_NOUN_Fem_Plur
sociais social_ADJ_Fem_Plur
não não_ADV
podem poder_AUX_Fin_Plur
moderar moderar_VERB_Inf
ou ou_CCONJ
banir banir_VERB_Inf
discursos discurso_NOUN_Masc_Plur
de de_ADP
ódio ódio_NOUN_Masc_Sing
. .
Ele ele_PRON_Masc_Sing
é ser_AUX_Fin_Sing
o o_DET_Masc_Sing
mesmo mesmo_ADJ_Masc_Sing
que que_PRON_Rel_Masc_Sing
mandou mandar_VERB_Fin_Sing
prender prender_VERB_Inf
uma um_DET_Fem_Sing
moça moça_NOUN_Fem_Sing
que que_PRON_Rel_Fem_Sing
lhe ele_PRON_Masc_Sing
ofendeu ofender_VERB_Fin_Sing
. .
Ele ele_PRON_Masc_Sing
não não_ADV
defende defender_VERB_Fin_Sing
a o_DET_Fem_Sing
liberdade liberdade_NOUN_Fem_Sing
de de_ADP
expressão expressão_NOUN_Fem_Sing
para para_ADP
ofensas ofensa_NOUN_Fem_Plur
? ?
Se se_SCONJ
a o_DET_Fem_Sing
moça moça_NOUN_Fem_Sing
tivesse ter_AUX_Fin_Sing
xingado xingar_VERB_Part_Masc_Sing
via via_ADP
Facebook facebook_PROPN_Masc_Sing
, ,
estaria estar_AUX_Fin_Sing
liberado liberar_VERB_Part_Masc_Sing
? ?
