Clínicas clínica_NOUN_Fem_Plur
da de_o_ADP_DET_Fem_Sing
família família_NOUN_Fem_Sing
sem sem_ADP
médicos médico_NOUN_Masc_Plur
, ,
a o_DET_Fem_Sing
população população_NOUN_Fem_Sing
do de_o_ADP_DET_Masc_Sing
Rio rio_PROPN_Masc_Sing
de de_ADP
Janeiro janeiro_PROPN_Sing
padecendo padecer_VERB_Part
todos todo_DET_Masc_Plur
os o_DET_Masc_Plur
dias dia_NOUN_Masc_Plur
, ,
por por_ADP
falta falta_NOUN_Fem_Sing
de de_ADP
atendimento atendimento_NOUN_Masc_Sing
, ,
e e_CCONJ
o o_PRON_Masc_Sing
@MCrivella twitterhandle_VERB_Fin_Sing
, ,
ao a_o_ADP_DET_Masc_Sing
invés invés_NOUN
de de_ADP
agir agir_VERB_Inf
diante diante_ADV
dessa de_esse_ADP_DET_Fem_Sing
situação situação_NOUN_Fem_Sing
, ,
faz fazer_VERB_Fin_Sing
vídeo vídeo_NOUN_Masc_Sing
apoiando apoiar_VERB_Ger
o o_DET_Masc_Sing
mentecapto mentecapto_NOUN_Masc_Sing
do de_o_ADP_DET_Masc_Sing
Bolsonaro bolsonaro_PROPN_Masc_Sing
. .
Se se_PRON_Masc_Sing
depender depender_VERB_Fin_Sing
de de_ADP
mim eu_PRON_Sing
, ,
esse esse_DET_Masc_Sing
ano ano_NOUN_Masc_Sing
ele ele_PRON_Masc_Sing
mete meter_VERB_Fin_Sing
o o_DET_Masc_Sing
pé pé_NOUN_Masc_Sing
da de_o_ADP_DET_Fem_Sing
prefeitura prefeitura_NOUN_Fem_Sing
. .
pprt pprt_NOUN_Masc_Sing
