@pauloeneas twitterhandle_NOUN_Fem_Plur
Eu eu_PRON_Fem_Sing
tenho ter_VERB_Fin_Sing
asco asco_NOUN_Masc_Sing
desse de_esse_ADP_DET_Masc_Sing
Paulo paulo_PROPN_Masc_Sing
enéas enéas_VERB_Fin_Sing
que que_SCONJ
só só_ADV
sabe saber_VERB_Fin_Sing
falar falar_VERB_Inf
de de_ADP
bolsonaro bolsonaro_NOUN_Masc_Sing
e e_CCONJ
bolsonarismo bolsonarismo_NOUN_Masc_Sing
e e_CCONJ
não não_ADV
combate combater_VERB_Fin_Sing
a o_DET_Fem_Sing
esquerda esquerda_NOUN_Fem_Sing
ideológica ideológico_ADJ_Fem_Sing
e e_CCONJ
ainda ainda_ADV
quer querer_VERB_Fin_Sing
ser ser_AUX_Inf
identificado identificar_VERB_Part_Masc_Sing
como como_ADP
 "  "
conservador conservador_NOUN_Masc_Sing
 "  "
. .
Quer querer_VERB_Fin_Sing
conhecer conhecer_VERB_Inf
alguém alguém_PRON_Masc_Sing
veja ver_VERB_Fin_Sing
quem quem_PRON_Int_Sing
ele ele_PRON_Masc_Sing
combate combater_VERB_Fin_Sing
e e_CCONJ
não não_ADV
acredite acreditar_VERB_Fin_Sing
naquilo em_aquilo_ADP_PRON_Masc_Sing
que que_PRON_Rel_Masc_Sing
ele ele_PRON_Masc_Sing
diz dizer_VERB_Fin_Sing
que que_SCONJ
é ser_AUX_Fin_Sing
. .
